Iteration;Lambda;X1;X2;F_x;norm_X
;x^2 + 2y^2 - x + 2y;;;;
0;"( 0; 0)";"( 0,853553390593274; 0,258819045102521)";"( 0,258819045102521; 0,853553390593274)";;
1;"( 0; 0)";"( 0,853553390593274; 0,258819045102521)";"( 0,258819045102521; 0,853553390593274)";-0,585759749275192;
2;"( 0; 0)";"( 0,853553390593274; 0,258819045102521)";"( 0,594734345490753; -0,594734345490753)";-0,723076211353316;
3;"( 1,44828773608403; -0,335915300388232)";"( 0,853553390593274; 0,258819045102521)";"( 0,594734345490753; -0,594734345490753)";-0,909275227995058;
4;"( 1,44828773608403; -0,335915300388232)";"( 0,937532215690332; -0,103252888918486)";"( 0,594734345490753; -0,594734345490753)";-1,0780283467019;
5;"( 1,18198246213684; -0,295560677441752)";"( 0,937532215690332; -0,103252888918486)";"( 0,893822160688966; -0,407159220072056)";-1,08773083281671;
6;"( 1,18198246213684; -0,295560677441752)";"( 0,937532215690332; -0,103252888918486)";"( 0,976789749801275; -0,303283001626087)";-1,11878312776114;
7;"( 1,18198246213684; -0,295560677441752)";"( 1,00845916082969; -0,201337364226203)";"( 0,976789749801275; -0,303283001626087)";-1,12019233835715;
8;"( 1,03996395702082; -0,263122806555047)";"( 1,00845916082969; -0,201337364226203)";"( 0,976789749801275; -0,303283001626087)";-1,12305846603548;
9;"( 1,03996395702082; -0,263122806555047)";"( 1,00845916082969; -0,201337364226203)";"( 1,00050065436327; -0,267756543508356)";-1,12436915967048;
10;"( 0,991152812207691; -0,244297394075458)";"( 1,01434573326087; -0,233388519628952)";"( 1,00050065436327; -0,267756543508356)";-1,12485668783951;
11;"( 0,991152812207691; -0,244297394075458)";"( 1,00508623327317; -0,244707744210429)";"( 1,00050065436327; -0,267756543508356)";-1,12491811428841;
12;"( 0,991152812207691; -0,244297394075458)";"( 1,00508623327317; -0,244707744210429)";"( 0,99931008855185; -0,25612955632565)";-1,1249243811007;
13;"( 0,996675486560102; -0,247358022171749)";"( 1,00508623327317; -0,244707744210429)";"( 0,99931008855185; -0,25612955632565)";-1,1249749875167;
14;"( 0,996675486560102; -0,247358022171749)";"( 1,00153951041458; -0,248225766729564)";"( 0,99931008855185; -0,25612955632565)";-1,12499133410029;
15;"( 0,996675486560102; -0,247358022171749)";"( 1,00153951041458; -0,248225766729564)";"( 0,999208793519594; -0,251960725388153)";-1,12499168510421;
16;"( 0,998524819263593; -0,248725634115304)";"( 1,00153951041458; -0,248225766729564)";"( 0,999208793519594; -0,251960725388153)";-1,12499457582498;
17;"( 0,998524819263593; -0,248725634115304)";"( 1,00020315840308; -0,249284473240646)";"( 0,999208793519594; -0,251960725388153)";-1,12499893476958;
18;"( 0,998524819263593; -0,248725634115304)";"( 1,00020315840308; -0,249284473240646)";"( 0,999286391176466; -0,250482889533064)";-1,12499902439784;
19;"( 1,00035475255287; -0,250462705022631)";"( 1,00020315840308; -0,249284473240646)";"( 0,999286391176466; -0,250482889533064)";-1,12499944595875;
20;"( 1,00035475255287; -0,250462705022631)";"( 1,00001186513388; -0,249878635259247)";"( 0,999286391176466; -0,250482889533064)";-1,12499997040042;
;Extremum;1,00001186513388;-0,249878635259247;-1,12499997040042;
