Iteration;deltaX1;deltaX2;X1;X2;F_x;dF_dX1;dF_dX2;norm_X
0;2;;;;;;;
0,707106781186548;2;;;;;;;
1,4142135623731;2;;;;;;;
2,12132034355964;2;;;;;;;
2,82842712474619;2;;;;;;;
3,53553390593274;2;;;;;;;
4,24264068711928;2;;;;;;;
4,94974746830583;2;;;;;;;
5,65685424949238;2;;;;;;;
6,36396103067893;2;;;;;;;
7,07106781186548;2;;;;;;;
7,77817459305202;2;;;;;;;
8,48528137423857;2;;;;;;;
9,19238815542512;2;;;;;;;
9,89949493661167;2;;;;;;;
10,6066017177982;2;;;;;;;
11,3137084989848;2;;;;;;;
12,0208152801713;2;;;;;;;
12,7279220613579;2;;;;;;;
13,4350288425444;2;;;;;;;
14,142135623731;2;;;;;;;
14,8492424049175;2;;;;;;;
15,556349186104;2;;;;;;;
16,2634559672906;2;;;;;;;
16,9705627484771;2;;;;;;;
17,6776695296637;2;;;;;;;
18,3847763108502;2;;;;;;;
19,0918830920368;2;;;;;;;
19,7989898732233;2;;;;;;;
20,5060966544099;2;;;;;;;
21,2132034355964;2;;;;;;;
21,920310216783;2;;;;;;;
22,6274169979695;2;;;;;;;
23,3345237791561;2;;;;;;;
24,0416305603426;2;;;;;;;
24,7487373415292;2;;;;;;;
25,4558441227157;2;;;;;;;
26,1629509039023;2;;;;;;;
26,8700576850888;2;;;;;;;
27,5771644662754;2;;;;;;;
28,2842712474619;2;;;;;;;
28,9913780286484;2;;;;;;;
29,698484809835;2;;;;;;;
30,4055915910215;2;;;;;;;
31,1126983722081;2;;;;;;;
31,8198051533946;2;;;;;;;
32,5269119345812;2;;;;;;;
33,2340187157677;2;;;;;;;
33,9411254969543;2;;;;;;;
34,6482322781408;2;;;;;;;
35,3553390593274;2;;;;;;;
36,0624458405139;2;;;;;;;
36,7695526217005;2;;;;;;;
37,476659402887;2;;;;;;;
38,1837661840736;2;;;;;;;
38,8908729652601;2;;;;;;;
39,5979797464467;2;;;;;;;
40,3050865276332;2;;;;;;;
41,0121933088198;2;;;;;;;
41,7193000900063;2;;;;;;;
42,4264068711929;2;;;;;;;
43,1335136523794;2;;;;;;;
43,8406204335659;2;;;;;;;
44,5477272147525;2;;;;;;;
45,254833995939;2;;;;;;;
45,9619407771256;2;;;;;;;
46,6690475583121;2;;;;;;;
47,3761543394987;2;;;;;;;
48,0832611206852;2;;;;;;;
48,7903679018718;2;;;;;;;
49,4974746830583;2;;;;;;;
50,2045814642449;2;;;;;;;
50,9116882454314;2;;;;;;;
51,618795026618;2;;;;;;;
52,3259018078045;2;;;;;;;
53,0330085889911;2;;;;;;;
53,7401153701776;2;;;;;;;
54,4472221513642;2;;;;;;;
55,1543289325507;2;;;;;;;
55,8614357137373;2;;;;;;;
56,5685424949238;2;;;;;;;
57,2756492761104;2;;;;;;;
57,9827560572969;2;;;;;;;
58,6898628384834;2;;;;;;;
59,39696961967;2;;;;;;;
60,1040764008565;2;;;;;;;
60,8111831820431;2;;;;;;;
61,5182899632296;2;;;;;;;
62,2253967444162;2;;;;;;;
62,9325035256027;2;;;;;;;
63,6396103067893;2;;;;;;;
64,3467170879758;2;;;;;;;
65,0538238691624;2;;;;;;;
65,7609306503489;2;;;;;;;
66,4680374315355;2;;;;;;;
67,175144212722;2;;;;;;;
67,8822509939086;2;;;;;;;
68,5893577750951;2;;;;;;;
69,2964645562817;2;;;;;;;
70,0035713374682;2;;;;;;;
